x1,y1,x2,y2
665,929,768,1078
1058,844,1145,1044
86,114,136,231
1189,869,1278,1058
1652,368,1731,544
1058,517,1133,692
907,340,977,502
693,302,752,458
568,453,637,617
1005,745,1071,910
1108,172,1160,292
123,799,230,997
1761,228,1833,388
733,206,781,343
988,245,1056,405
1175,271,1234,406
1645,857,1749,1051
0,540,92,729
1637,690,1729,884
337,473,399,625
167,963,274,1078
1805,335,1897,498
156,52,205,151
232,2,274,79
1385,37,1421,166
576,351,632,473
710,52,756,171
912,50,955,184
862,52,903,173
797,48,839,172
372,474,456,652
