x1,y1,x2,y2
1404,710,1498,886
1143,893,1237,1076
675,605,751,792
93,129,147,248
758,419,817,574
1477,491,1551,659
852,62,891,194
246,462,329,638
228,29,282,143
1093,53,1135,162
1463,344,1528,496
1140,476,1211,616
903,79,944,196
925,188,982,321
1797,161,1857,283
1621,13,1662,124
371,10,424,121
991,116,1041,254
1172,134,1217,260
1852,623,1920,836
801,69,841,193
714,223,766,360
1678,13,1738,142
1693,93,1793,291
1204,116,1253,254
342,490,406,637
1821,0,1852,47
48,813,150,983
575,288,630,415
725,1,770,91
1306,3,1345,106
390,532,464,667
