x1,y1,x2,y2
677,448,746,616
210,585,289,773
1757,517,1838,701
748,313,808,454
924,251,986,399
1161,380,1220,507
1232,733,1312,897
1540,631,1638,814
85,125,134,238
1525,479,1606,655
1087,708,1162,897
1099,100,1143,215
580,352,640,493
851,59,894,186
1683,53,1752,189
1061,991,1130,1079
703,135,754,272
1742,143,1809,295
1835,230,1891,363
333,0,380,85
991,167,1050,313
108,868,215,1041
336,481,397,626
1296,0,1333,102
796,55,836,177
0,71,48,178
1643,34,1683,144
1737,245,1809,382
1375,26,1425,174
391,535,459,656
