x1,y1,x2,y2
908,386,978,548
84,111,132,228
1059,466,1128,642
1010,918,1089,1079
1617,332,1694,497
1760,274,1842,439
1189,753,1282,948
91,896,197,1078
554,501,636,662
37,589,135,765
676,830,765,1050
1693,788,1800,969
999,673,1068,849
1108,207,1162,340
1174,238,1221,359
692,253,747,406
567,383,627,507
709,20,749,143
1835,387,1920,545
1382,32,1420,167
217,3,276,147
919,75,960,210
973,277,1039,438
1712,127,1776,264
338,472,398,622
724,171,777,296
860,52,901,171
1690,961,1797,1075
798,46,837,169
226,6,275,88
