x1,y1,x2,y2
87,114,135,231
1183,880,1275,1074
658,935,775,1075
1657,373,1729,543
1001,757,1072,926
909,338,976,489
692,307,754,465
1061,524,1132,692
121,785,228,980
570,449,640,605
1069,835,1145,1019
1,536,86,720
1109,168,1157,290
1641,851,1746,1052
988,240,1056,403
737,211,784,344
1635,681,1726,871
337,473,399,625
150,52,216,153
1762,225,1828,383
167,959,282,1075
1174,279,1228,410
1808,330,1892,479
575,345,631,473
235,2,277,77
712,52,758,173
1385,37,1421,166
798,48,838,171
912,50,953,177
367,473,455,651
393,472,500,657
