x1,y1,x2,y2
1071,670,1156,861
684,418,750,592
923,266,985,406
197,624,287,821
1188,727,1282,901
1720,497,1818,669
1051,942,1122,1080
754,293,811,444
1158,359,1224,497
581,373,647,515
89,124,136,240
119,877,241,1048
1541,508,1618,670
1554,667,1645,849
1750,251,1815,402
1105,118,1147,227
336,481,396,625
1289,0,1326,99
1375,36,1422,174
1743,164,1809,299
990,183,1052,324
1843,245,1904,369
707,119,754,248
356,1,406,83
24,70,73,173
1683,67,1754,197
856,58,900,185
797,55,836,175
448,0,476,56
944,22,981,130
393,530,459,655
575,279,634,394
