x1,y1,x2,y2
1186,805,1282,1024
107,848,204,1055
85,113,133,231
1053,492,1128,655
1034,888,1115,1066
911,370,982,528
1639,355,1708,517
553,484,637,636
1763,254,1837,403
672,879,765,1072
1112,192,1161,310
1173,257,1235,385
1007,708,1065,882
572,367,634,497
690,280,751,433
1664,745,1766,918
1822,362,1911,518
16,564,124,739
980,267,1044,428
1671,916,1780,1065
232,3,273,89
724,183,783,316
338,473,399,624
192,988,283,1078
1382,34,1420,168
711,32,748,154
191,49,232,148
861,54,902,173
1713,120,1777,263
917,62,958,194
797,49,838,172
