x1,y1,x2,y2
1597,292,1667,447
1771,313,1847,477
1208,658,1291,861
1057,413,1124,579
683,214,739,362
687,746,777,957
76,106,130,225
906,432,977,598
531,547,615,711
1010,598,1067,759
965,1001,1057,1078
1122,242,1173,368
550,418,615,556
917,98,962,231
960,314,1025,488
798,38,837,167
1381,28,1417,164
60,1003,160,1077
69,636,164,825
216,0,273,107
274,34,315,129
1170,204,1220,328
1740,906,1866,1078
712,136,770,264
702,2,746,114
334,472,399,617
856,42,896,169
1706,91,1753,196
441,489,504,626
1280,0,1317,97
1756,83,1794,171
