x1,y1,x2,y2
1701,435,1778,616
166,692,259,880
915,298,981,454
1601,741,1702,928
1142,767,1218,954
1176,1012,1261,1080
1025,849,1088,1040
1171,319,1235,441
1064,602,1136,796
1580,582,1665,767
689,360,753,524
745,249,799,385
580,306,636,433
581,412,644,549
1106,140,1153,254
1774,283,1853,437
992,208,1059,359
244,0,287,60
1753,186,1820,327
87,63,136,236
1870,275,1920,420
160,901,259,1069
338,474,403,628
422,0,449,51
710,85,756,214
908,30,944,150
801,49,838,170
1384,37,1422,166
962,0,996,107
1183,13,1229,143
