x1,y1,x2,y2
1136,879,1231,1070
1401,711,1485,880
676,593,753,786
1479,500,1557,683
92,128,145,247
851,63,892,194
758,416,815,576
925,192,982,322
1847,643,1919,831
246,467,330,652
377,6,425,119
1465,352,1534,499
234,23,293,138
48,817,157,981
1142,469,1210,615
1092,52,1135,164
1797,159,1861,287
989,114,1042,253
799,68,837,192
907,76,948,189
1172,126,1220,255
1620,12,1664,124
713,213,766,355
342,487,405,641
1681,15,1739,144
1206,110,1254,250
1699,92,1795,269
726,0,769,90
572,287,631,424
1305,2,1344,106
1390,0,1440,179
1593,13,1653,126
1820,0,1851,48
