x1,y1,x2,y2
1208,655,1292,853
1596,289,1666,446
684,213,740,362
1057,409,1125,574
1771,317,1848,478
963,1007,1056,1079
529,550,618,714
907,433,978,595
76,106,130,224
686,740,776,958
1121,243,1174,371
1013,596,1065,750
918,98,962,230
59,1005,153,1080
960,315,1025,492
549,422,616,556
798,38,837,165
1381,28,1417,163
215,0,272,109
70,638,165,822
1169,205,1221,326
712,133,772,259
702,2,746,114
276,34,317,128
856,42,897,165
335,473,398,615
1704,88,1759,197
1758,83,1795,172
442,493,503,625
1742,914,1869,1079
