x1,y1,x2,y2
1112,803,1202,995
671,538,746,723
234,510,306,686
1327,708,1423,872
84,125,134,238
924,202,987,342
752,372,814,526
1798,596,1896,772
75,823,181,994
1142,433,1214,568
1481,386,1558,551
847,55,886,185
387,0,434,98
264,1,334,117
704,180,755,319
1093,66,1136,177
1494,543,1577,728
336,485,406,637
1169,100,1211,223
796,59,835,182
1622,16,1667,131
1803,181,1862,308
1380,0,1433,174
985,131,1042,273
1734,111,1796,261
1300,0,1338,101
568,308,639,446
1705,193,1776,326
1200,96,1243,223
1677,23,1735,148
916,58,952,171
