x1,y1,x2,y2
1720,493,1813,665
191,630,279,821
921,274,982,414
1068,659,1153,858
1158,355,1226,479
1190,735,1264,900
686,410,748,576
752,283,808,428
85,122,134,240
1047,929,1119,1080
1562,669,1645,856
582,378,650,521
1847,245,1907,376
1542,532,1620,682
1751,256,1823,411
122,880,245,1060
336,480,396,626
1377,40,1421,173
1104,120,1148,231
989,183,1052,329
710,116,754,245
1743,165,1811,307
34,68,75,169
1686,71,1755,203
365,0,408,73
576,282,634,402
796,55,835,174
943,21,986,128
1189,38,1233,165
393,528,460,656
1290,0,1323,96
