x1,y1,x2,y2
671,628,751,813
1146,931,1242,1076
1416,704,1517,889
253,442,325,610
213,36,261,149
756,436,823,595
93,130,146,252
1452,323,1522,481
1467,476,1545,648
1792,151,1855,276
926,181,982,318
1619,12,1655,123
1203,124,1254,259
854,65,896,199
1140,492,1211,636
361,8,414,131
986,106,1039,239
40,798,142,993
1167,146,1213,273
1093,48,1134,155
712,230,767,368
1728,82,1787,199
1854,710,1919,851
899,89,936,198
1687,165,1757,297
800,74,844,195
343,496,410,649
159,0,191,47
727,7,768,98
574,286,630,412
