x1,y1,x2,y2
88,115,138,233
1007,789,1079,977
1057,560,1138,741
915,323,980,473
1662,405,1748,575
1170,924,1270,1080
1603,640,1705,817
140,749,238,939
694,324,755,480
663,987,760,1079
1753,213,1821,369
1106,157,1157,278
1792,309,1871,478
571,439,655,579
1169,293,1233,417
0,517,64,684
1088,805,1175,1000
577,329,634,448
1628,802,1718,987
739,222,793,364
338,471,399,625
993,227,1059,375
715,65,759,193
1708,95,1775,236
161,930,270,1071
913,42,952,162
127,49,170,150
801,46,838,171
243,2,283,70
863,51,903,171
