x1,y1,x2,y2
672,549,748,731
1492,526,1575,703
1339,709,1435,876
86,126,135,240
236,495,311,670
754,379,815,529
66,825,175,993
1116,825,1203,1027
1476,375,1559,547
1144,442,1213,575
924,203,983,343
847,59,886,187
253,5,316,118
706,187,758,329
1089,62,1133,175
1819,609,1909,786
1801,176,1864,308
1737,101,1797,233
1701,198,1771,328
336,487,409,642
797,60,836,183
1170,111,1217,242
989,128,1042,265
1203,91,1250,232
1382,0,1435,175
1303,0,1340,101
1630,17,1665,101
1682,23,1734,147
387,3,433,108
1594,16,1647,128
914,67,950,180
