x1,y1,x2,y2
1403,711,1493,882
675,601,752,794
1139,889,1235,1077
93,129,146,248
758,419,816,572
246,467,328,637
851,61,892,194
1477,491,1553,662
1142,473,1212,615
1465,348,1531,497
905,81,946,195
1852,640,1919,834
233,28,288,139
1795,161,1858,283
371,7,425,122
923,190,981,320
1621,13,1662,124
1093,53,1135,163
991,114,1042,255
48,813,152,980
1682,12,1738,140
715,220,764,359
800,68,841,195
1695,92,1795,286
1173,130,1219,258
342,489,407,638
1204,114,1254,254
574,285,630,419
1820,0,1852,47
726,0,770,90
1305,3,1345,105
173,0,193,36
