x1,y1,x2,y2
917,308,984,454
154,723,252,924
691,344,756,509
1613,776,1716,983
1171,969,1267,1078
1058,567,1134,743
1686,420,1764,580
1594,607,1682,780
742,235,794,382
1016,817,1080,1000
1162,308,1233,438
1119,787,1196,959
579,319,636,437
1754,205,1825,350
1784,293,1860,450
576,425,648,569
161,916,267,1070
1112,145,1158,264
663,1023,755,1080
89,88,152,234
339,472,398,625
0,507,65,683
713,70,756,196
1881,292,1920,433
993,215,1059,379
245,0,283,61
908,32,947,157
967,0,1001,101
801,46,838,170
1384,36,1422,165
