x1,y1,x2,y2
1651,372,1727,540
1047,849,1151,1064
667,920,766,1077
908,346,977,505
87,113,135,232
1055,512,1131,694
1186,850,1281,1046
1654,862,1760,1060
1108,178,1159,296
120,810,228,1029
1005,738,1070,908
1178,274,1233,401
566,463,634,622
1762,237,1832,390
1644,702,1741,896
731,206,778,340
693,297,751,453
1,540,98,729
171,966,276,1078
987,252,1050,408
161,52,223,154
338,474,398,623
1810,350,1885,511
1661,59,1708,174
1384,37,1420,166
862,53,902,173
711,50,755,172
1713,111,1778,248
796,48,838,172
914,54,954,185
574,349,633,483
374,475,456,652
230,0,274,82
