x1,y1,x2,y2
917,309,984,456
1169,962,1268,1077
153,726,249,934
1681,420,1762,578
1614,782,1718,982
1056,565,1135,743
692,340,756,506
1015,808,1080,989
91,117,140,236
1162,307,1232,436
1597,617,1686,791
744,230,795,381
1754,207,1826,352
574,428,647,570
579,321,638,437
1109,148,1157,263
161,918,264,1071
339,472,398,625
1785,299,1860,456
664,1019,756,1079
0,515,62,684
1115,790,1193,967
713,69,758,195
244,0,283,62
1880,294,1920,434
995,219,1058,378
801,46,838,170
969,0,1001,99
1384,36,1423,165
910,31,947,158
107,57,148,148
1182,6,1225,128
