x1,y1,x2,y2
1390,708,1472,879
674,581,752,773
1481,512,1561,688
92,128,144,244
925,195,981,329
851,62,889,193
245,477,324,656
756,407,815,567
1469,357,1543,502
1132,863,1221,1070
1842,637,1919,829
49,819,165,985
1090,54,1136,168
712,205,765,344
799,64,837,186
908,76,949,189
1799,160,1865,294
1697,89,1792,306
385,8,425,111
1621,12,1666,125
1204,101,1252,242
989,116,1040,254
243,24,298,129
337,488,401,644
1143,459,1209,610
573,291,630,433
1170,125,1220,249
1385,0,1440,180
1676,18,1740,143
1304,1,1343,105
1593,13,1652,126
390,524,458,662
