x1,y1,x2,y2
1182,832,1282,1034
1054,508,1127,694
1045,870,1143,1070
912,362,978,519
1658,883,1780,1072
87,114,133,232
115,822,224,1040
670,903,765,1075
1645,367,1721,535
561,468,632,622
1111,184,1159,303
3,549,98,734
1007,732,1067,912
691,289,752,439
1176,267,1232,381
1762,245,1835,403
726,195,780,323
986,257,1052,412
1655,720,1751,898
1812,355,1898,510
179,50,218,150
862,54,903,173
1384,36,1419,167
185,976,279,1076
708,47,752,165
1713,115,1778,256
338,473,399,622
915,58,958,193
575,354,634,490
1664,67,1711,179
231,4,274,85
797,48,838,172
982,2,1017,82
