x1,y1,x2,y2
1531,611,1611,796
1765,539,1853,727
1515,445,1595,611
1266,726,1337,899
923,238,980,381
678,469,745,649
754,326,811,479
85,124,134,238
1154,396,1217,528
1097,727,1178,924
847,56,887,186
1826,206,1897,345
215,567,310,759
989,157,1046,300
1095,94,1142,208
704,145,754,278
577,346,637,485
316,0,369,96
1367,1,1425,178
1684,45,1748,184
336,481,397,627
1165,73,1212,202
102,845,206,1044
1733,197,1806,365
1737,135,1808,315
424,0,457,71
1299,0,1332,100
1639,26,1676,137
796,52,835,178
930,34,971,152
