x1,y1,x2,y2
158,705,248,899
917,303,985,453
1693,420,1770,596
1063,584,1136,751
1020,827,1084,1025
690,351,754,519
1175,987,1268,1079
1129,776,1206,951
1604,763,1706,965
574,413,647,556
743,241,796,382
1168,313,1235,442
1753,193,1825,339
1108,147,1156,258
161,910,261,1070
88,84,150,233
339,473,399,618
1781,289,1855,445
1592,601,1662,767
578,310,636,434
995,217,1058,369
0,500,60,668
1877,292,1920,428
711,77,758,200
245,0,283,58
1383,35,1423,166
801,46,838,171
1184,9,1228,130
395,474,503,653
964,0,1000,101
