x1,y1,x2,y2
516,799,611,994
203,55,263,183
921,658,1004,841
1539,141,1595,281
1248,371,1316,530
499,612,574,765
680,66,728,194
223,940,322,1074
21,651,115,817
1164,420,1230,564
1830,546,1919,729
54,115,110,236
718,12,761,130
1065,227,1124,368
1183,83,1230,201
1749,268,1822,422
764,1011,855,1080
506,15,545,122
687,456,767,637
1381,19,1421,158
1035,362,1080,511
903,217,963,364
1783,148,1846,268
1835,146,1895,273
949,501,1029,685
871,0,906,104
823,1,859,111
333,459,391,613
1216,0,1252,75
941,0,985,97
