x1,y1,x2,y2
928,693,1015,884
514,830,618,1008
760,972,850,1076
1240,342,1310,497
1176,443,1236,583
204,57,265,180
677,57,731,188
1841,569,1919,767
690,437,771,632
1534,129,1589,270
1065,215,1122,360
900,229,957,378
28,676,131,845
1749,285,1829,433
495,642,573,811
1032,346,1081,480
1380,19,1420,158
523,21,578,120
51,115,101,236
224,991,320,1078
872,0,907,98
718,0,762,119
1791,154,1855,280
1181,81,1234,192
1839,159,1893,281
1005,1,1042,98
937,0,985,101
823,0,861,101
333,460,391,614
955,524,1039,688
