x1,y1,x2,y2
1402,712,1492,882
677,598,751,788
1137,885,1233,1069
757,417,815,574
92,128,146,247
247,466,328,645
851,62,892,194
1465,350,1534,499
1479,498,1557,673
1849,640,1919,833
1795,160,1860,288
906,80,947,192
1142,471,1210,617
49,815,154,980
924,192,981,320
233,24,291,137
377,10,425,120
1092,52,1135,163
991,115,1042,253
1680,13,1739,144
1620,12,1663,125
800,69,839,193
714,216,764,358
342,488,406,643
1172,126,1220,255
726,0,769,93
1695,93,1794,283
1206,111,1253,252
573,285,630,422
1304,3,1345,106
1820,0,1852,48
