x1,y1,x2,y2
156,716,251,924
1592,605,1681,776
1611,768,1713,979
691,347,756,512
1061,575,1134,746
918,305,984,454
1017,822,1082,1003
1688,416,1764,587
1173,974,1269,1077
1123,783,1200,953
1754,199,1824,349
742,237,795,381
575,417,648,564
1784,290,1859,446
1113,146,1158,266
1164,310,1231,439
665,1027,754,1080
339,473,398,622
161,914,263,1068
88,102,146,234
0,503,66,679
994,216,1060,372
579,317,637,436
1879,294,1919,433
712,72,759,197
90,53,173,237
800,46,838,171
1384,35,1423,165
907,31,947,156
965,0,1001,101
1151,29,1191,138
1184,6,1227,127
246,0,283,60
103,55,176,160
