x1,y1,x2,y2
1203,714,1286,907
980,945,1070,1076
906,402,975,554
1062,441,1130,601
1610,314,1679,470
74,936,183,1076
79,107,131,226
54,611,142,801
1117,221,1165,341
1004,644,1064,801
1709,835,1822,1034
684,792,776,1018
1764,288,1843,441
547,517,621,676
559,401,620,534
689,241,743,384
968,297,1032,459
1381,30,1419,165
1168,226,1221,356
1712,1010,1825,1079
218,1,285,141
704,9,748,129
335,472,397,614
860,48,899,169
722,158,770,285
179,1035,278,1080
920,85,962,219
795,40,836,173
1743,75,1775,161
1865,411,1920,580
1685,93,1733,192
