x1,y1,x2,y2
516,792,616,993
1539,144,1598,283
1248,374,1317,536
920,653,1003,823
203,53,262,175
500,609,576,764
217,928,315,1079
679,71,728,202
1164,418,1230,562
14,644,112,807
58,114,109,234
721,14,760,134
693,464,763,641
1062,232,1121,376
1830,543,1920,726
1381,20,1421,158
903,211,961,354
1179,90,1230,207
1783,147,1840,264
501,14,535,117
1035,369,1080,512
1835,145,1893,270
948,490,1027,671
821,0,859,113
869,0,906,107
1748,271,1822,422
335,459,392,613
941,0,985,95
768,1024,850,1080
1216,0,1252,76
