x1,y1,x2,y2
179,646,276,837
1573,695,1661,896
1722,471,1797,639
1174,741,1251,924
1071,640,1149,826
686,397,753,573
915,277,979,424
584,389,649,525
1558,540,1637,698
1162,344,1223,470
749,275,808,416
1040,908,1105,1075
45,66,138,240
990,188,1057,347
1746,170,1813,304
1380,38,1422,171
1101,127,1151,242
337,478,397,626
951,14,989,122
142,888,249,1059
576,287,631,413
1761,261,1828,411
709,107,760,237
1186,29,1230,156
906,15,945,136
383,0,425,69
389,510,450,656
798,54,836,173
1850,267,1911,390
1346,1,1385,106
