x1,y1,x2,y2
673,558,747,734
755,386,815,542
1824,618,1915,813
1474,364,1550,527
240,482,313,657
1488,522,1570,688
90,126,140,242
64,821,185,989
1371,709,1450,875
250,11,301,121
850,60,888,187
924,205,982,336
1124,843,1211,1054
1148,449,1212,579
708,192,759,330
1088,61,1135,175
1800,174,1857,306
384,1,430,110
336,486,405,640
1206,93,1250,233
1732,94,1798,238
798,60,836,184
1623,12,1667,125
989,123,1040,263
911,77,948,180
1169,118,1222,244
390,522,457,656
1595,16,1649,128
1305,0,1340,99
1680,19,1734,144
