x1,y1,x2,y2
918,291,980,441
1711,454,1785,624
1023,868,1097,1041
174,675,273,881
1150,756,1244,950
690,372,753,539
1589,726,1683,915
1065,612,1145,803
747,261,803,405
583,398,644,550
1567,566,1650,750
1766,280,1845,441
1750,183,1816,319
1105,132,1152,245
70,74,137,235
151,896,251,1069
338,475,399,631
992,199,1056,349
1172,328,1234,460
244,0,284,61
709,93,757,220
959,3,994,113
1382,38,1422,167
578,299,633,421
1699,76,1768,215
800,50,837,172
1865,259,1920,398
1184,25,1228,151
401,0,445,63
908,28,944,148
