x1,y1,x2,y2
933,713,1023,904
761,929,853,1080
517,859,617,1049
1182,462,1240,596
1242,324,1308,479
897,244,958,390
683,41,729,173
44,700,150,869
1525,115,1586,252
690,417,766,580
495,664,571,822
1063,200,1124,342
1381,20,1420,158
1026,325,1076,469
1841,164,1897,284
46,117,100,239
1756,294,1834,451
723,0,767,106
207,68,266,192
965,548,1047,742
549,15,580,116
233,1028,316,1080
1186,65,1244,178
1792,161,1856,289
937,0,981,108
1852,614,1920,794
820,0,859,99
334,463,396,615
870,0,908,95
1001,0,1038,100
