x1,y1,x2,y2
1327,708,1435,876
754,376,816,530
676,546,748,726
86,126,134,239
1493,534,1576,713
68,826,179,994
1115,819,1202,1010
1146,440,1213,572
1813,605,1906,781
1475,380,1560,545
924,202,985,343
847,59,886,186
235,500,308,674
706,185,758,326
1091,61,1134,174
254,5,323,120
336,486,408,641
1800,179,1862,310
1702,196,1771,330
797,60,836,183
1738,105,1796,231
1170,109,1213,236
915,71,952,176
1202,94,1248,227
1680,22,1734,148
986,131,1040,268
385,0,432,104
1627,14,1666,120
1302,0,1340,100
1382,0,1435,174
