x1,y1,x2,y2
1758,529,1839,715
212,575,297,764
1246,726,1321,900
1535,619,1626,798
680,457,744,622
1521,464,1601,639
922,250,982,393
750,320,810,465
1091,718,1168,913
850,56,891,185
107,852,208,1043
87,122,137,240
990,160,1048,307
1832,215,1902,357
576,352,637,492
1099,97,1142,209
1160,386,1220,514
1057,1005,1130,1079
329,0,373,87
704,137,754,274
335,481,396,627
428,0,460,71
1643,31,1679,141
1741,138,1809,252
1163,75,1209,197
1734,232,1807,383
796,54,836,177
1683,51,1750,192
1297,0,1333,102
1607,32,1649,140
1378,30,1423,171
