x1,y1,x2,y2
1185,826,1281,1033
1053,501,1130,686
1046,877,1130,1072
87,114,132,232
673,892,762,1072
911,367,980,526
1668,898,1780,1073
1003,725,1067,901
110,830,217,1041
1641,364,1713,529
557,473,634,619
1113,188,1161,306
1175,259,1235,381
1660,720,1755,903
1815,357,1908,512
1764,249,1836,402
690,283,752,435
726,192,781,320
980,253,1049,424
1384,37,1419,166
575,358,633,491
183,49,222,145
862,54,903,173
1713,115,1778,261
231,3,274,87
709,41,752,162
338,474,399,625
796,49,838,172
915,60,958,193
185,983,280,1076
1665,69,1713,179
7,556,102,730
