x1,y1,x2,y2
1046,862,1147,1065
1182,836,1281,1030
911,359,978,513
1055,511,1128,696
672,909,765,1080
87,114,135,232
116,818,224,1038
1646,370,1721,537
1110,183,1159,301
563,468,634,622
1660,879,1775,1061
1004,733,1066,912
1176,267,1233,383
2,544,100,735
692,293,751,442
987,256,1052,409
1761,243,1832,402
726,198,780,326
182,976,280,1076
1650,718,1730,896
1814,359,1895,517
709,45,754,167
862,53,902,173
1384,36,1419,167
338,474,398,623
915,58,959,194
231,1,272,83
173,50,222,154
575,354,634,489
796,48,838,172
1664,64,1710,178
1710,713,1746,828
981,1,1017,82
