x1,y1,x2,y2
671,534,747,718
1109,797,1201,993
232,512,306,692
1328,708,1415,874
924,202,986,343
1484,390,1562,556
1790,590,1893,767
83,124,134,238
754,370,813,527
1143,431,1214,569
390,0,436,97
1496,545,1579,730
76,824,185,994
847,55,886,184
705,180,754,316
267,2,332,114
1093,71,1135,178
335,485,406,636
796,58,835,182
1623,17,1668,131
1169,99,1211,223
1378,0,1430,175
1733,111,1796,249
985,132,1043,272
1802,183,1866,307
570,313,639,447
1703,199,1776,327
1678,24,1734,150
1300,0,1338,100
916,57,953,172
