x1,y1,x2,y2
1141,901,1238,1078
1407,709,1502,886
676,609,750,795
93,129,147,249
758,420,817,574
1459,338,1527,495
225,27,278,142
248,457,328,633
852,62,892,195
1139,475,1213,615
1093,53,1135,162
1855,645,1919,836
1794,160,1858,282
1475,487,1552,651
925,188,983,323
368,10,425,124
1620,13,1661,123
904,77,944,197
1205,118,1253,253
990,115,1041,253
1172,137,1216,263
801,71,842,192
343,491,406,639
1681,11,1735,136
1694,88,1793,286
715,225,766,364
724,1,769,91
48,811,148,986
1821,1,1852,47
576,289,632,413
1306,4,1346,108
1587,16,1628,122
