x1,y1,x2,y2
928,697,1018,884
1239,338,1309,495
36,689,137,859
515,835,619,1027
759,964,853,1077
1177,447,1237,590
689,429,772,623
205,59,267,187
1064,213,1120,359
678,54,731,183
1529,130,1590,271
899,232,956,379
1027,339,1081,477
495,649,571,814
49,115,101,238
953,525,1037,715
1843,578,1919,783
1380,19,1421,158
1751,288,1832,433
1793,156,1861,283
526,20,579,121
231,998,322,1079
1003,0,1041,98
717,4,765,109
1839,159,1895,283
871,0,907,96
1182,81,1234,190
937,0,986,103
333,460,393,615
827,1,867,99
381,476,456,647
