x1,y1,x2,y2
83,112,133,228
1192,755,1281,949
909,384,976,547
1012,916,1092,1078
1759,273,1842,435
1617,334,1694,498
1055,470,1129,643
554,500,639,662
92,893,193,1078
671,833,764,1042
37,588,133,757
1690,783,1796,970
1107,207,1161,338
1002,675,1067,852
692,255,746,406
567,383,627,508
1382,32,1419,167
1687,953,1794,1076
1173,244,1225,359
710,22,749,146
337,472,397,621
722,175,779,298
1833,384,1920,548
859,53,900,171
918,77,957,208
973,278,1040,438
1712,132,1774,263
223,1,272,94
212,47,272,148
797,46,837,169
