x1,y1,x2,y2
1059,418,1127,590
906,425,976,589
1599,294,1670,458
1209,675,1290,870
1771,309,1845,475
1738,886,1851,1077
687,754,781,959
683,218,738,365
68,629,161,822
76,106,132,224
531,540,610,700
960,307,1028,474
1008,613,1069,782
963,994,1069,1077
553,416,614,555
919,96,961,232
1380,27,1417,165
1122,234,1172,356
63,992,178,1077
704,0,747,119
857,39,899,168
714,136,764,264
798,38,837,171
1172,209,1219,326
334,472,397,616
1714,155,1780,290
265,51,316,138
216,0,273,101
1892,0,1912,42
1707,87,1747,194
1750,79,1792,180
