x1,y1,x2,y2
1188,774,1283,950
83,113,133,229
96,886,191,1077
910,382,976,546
1618,335,1696,499
673,840,763,1039
1760,273,1842,430
1014,913,1096,1080
552,499,636,661
1053,470,1126,646
690,257,748,408
34,588,133,759
1005,681,1065,853
1381,33,1419,168
1683,782,1787,957
1107,207,1161,338
567,383,627,507
1172,244,1228,364
1683,945,1791,1079
1831,384,1918,543
974,281,1042,440
336,472,398,619
724,178,780,301
1713,132,1774,263
710,24,749,152
223,2,272,91
189,1001,287,1079
859,55,900,171
208,57,268,146
918,73,956,209
796,45,837,170
