x1,y1,x2,y2
1718,459,1790,627
915,280,980,430
1581,719,1671,918
1563,549,1649,720
686,386,755,563
1067,623,1147,798
1028,887,1098,1062
177,663,279,862
749,269,804,411
66,75,138,237
1751,176,1816,312
992,192,1057,353
585,393,646,543
956,9,993,116
144,889,254,1063
1163,751,1245,908
1103,133,1149,246
1762,268,1843,424
711,99,759,223
1167,338,1227,467
337,475,399,626
244,0,288,56
1381,39,1421,168
799,52,837,171
1692,75,1763,212
578,295,630,424
389,0,437,65
391,522,457,652
1859,257,1920,396
909,18,944,141
1183,25,1230,155
