x1,y1,x2,y2
909,356,978,509
1045,858,1149,1067
672,916,766,1080
1181,841,1279,1031
86,114,135,232
118,815,227,1037
1645,371,1724,536
1055,510,1131,694
1655,879,1768,1062
1109,181,1159,301
1004,734,1070,914
564,466,633,623
1176,266,1234,388
1760,242,1829,399
4,543,94,731
727,198,776,332
987,254,1053,410
691,294,749,446
1648,711,1729,897
169,51,224,155
180,973,280,1075
1813,357,1889,518
229,1,274,84
862,53,902,173
338,474,398,622
708,48,753,167
915,56,958,192
1384,37,1419,166
574,352,634,486
1663,61,1709,176
796,48,838,172
980,0,1017,80
