x1,y1,x2,y2
673,552,747,732
752,382,816,533
238,491,311,661
1118,834,1209,1040
1476,371,1554,542
1819,609,1910,799
1494,525,1573,691
1349,707,1443,876
87,126,135,240
1145,443,1213,577
65,825,178,992
253,8,308,118
848,59,887,187
1088,62,1132,177
925,207,982,339
707,190,758,328
1802,175,1858,307
1737,98,1798,228
987,128,1042,268
335,486,409,641
797,60,836,183
1701,201,1768,329
1203,91,1250,235
1383,0,1436,175
382,0,430,108
1624,12,1667,125
913,72,949,181
1171,109,1223,246
1304,0,1340,100
391,532,457,655
1682,21,1734,146
