x1,y1,x2,y2
1142,915,1240,1076
675,611,747,795
1457,329,1528,483
1414,708,1507,884
1794,160,1857,281
93,131,145,248
759,426,820,582
250,449,325,618
1471,480,1545,651
1138,484,1211,621
1619,12,1657,123
218,31,271,142
1205,119,1253,253
365,16,421,126
852,63,894,196
926,188,982,319
1094,52,1134,160
1854,691,1919,854
1170,136,1213,269
44,805,136,991
987,111,1040,250
902,86,943,197
164,0,190,41
801,72,843,193
342,493,403,636
713,226,767,368
1680,11,1734,132
1729,85,1787,209
725,4,770,94
1689,164,1761,299
1308,5,1346,107
1822,1,1852,49
1586,15,1628,122
