x1,y1,x2,y2
908,374,977,537
83,112,133,229
100,875,199,1075
672,847,763,1045
1187,785,1276,968
1626,343,1700,505
553,493,639,656
1021,903,1099,1080
1761,264,1839,425
1108,201,1161,328
30,582,139,754
1005,686,1065,853
1054,473,1126,642
1171,251,1230,375
692,267,748,414
1835,377,1917,542
974,277,1044,441
1675,772,1786,939
228,4,272,88
1678,940,1789,1078
572,380,631,507
336,472,398,621
1381,33,1420,168
709,30,753,152
724,179,782,307
203,55,248,146
1715,129,1775,263
859,54,900,172
191,996,281,1080
797,46,837,171
918,69,957,203
