x1,y1,x2,y2
517,797,612,993
1248,370,1316,536
921,652,1004,826
1540,144,1596,283
202,52,264,179
678,67,728,199
221,933,321,1077
500,610,575,765
18,647,115,816
1164,420,1230,563
719,12,761,133
55,115,109,235
1064,228,1123,370
1178,90,1229,203
690,460,765,636
1381,19,1422,158
1830,544,1920,725
1033,365,1080,511
903,211,962,359
504,15,540,119
767,1017,853,1078
1750,272,1822,420
948,494,1027,671
1783,149,1843,266
870,0,906,106
823,1,859,112
1835,145,1894,271
941,0,985,97
330,459,387,609
1216,0,1252,76
