x1,y1,x2,y2
1392,711,1466,878
674,579,747,769
1133,861,1219,1070
758,402,815,557
1483,515,1563,690
90,128,144,244
850,60,889,190
924,196,981,331
56,820,173,984
1837,632,1919,826
244,478,322,655
1471,358,1546,509
709,201,764,340
244,21,299,127
1145,457,1211,609
1090,57,1136,169
1801,163,1865,299
1205,100,1251,239
989,117,1040,255
799,64,836,185
1621,12,1667,126
337,488,400,641
909,74,948,184
1171,123,1219,247
572,297,631,433
381,0,426,110
1304,1,1343,104
1703,93,1797,257
1383,3,1438,177
1589,18,1628,126
391,521,456,660
1679,19,1736,145
