x1,y1,x2,y2
1142,917,1243,1074
675,615,747,802
1456,327,1526,478
1411,706,1510,884
93,130,146,251
251,446,325,615
755,428,822,592
1793,160,1855,279
1136,486,1212,628
1470,479,1544,648
1619,13,1657,123
217,29,267,143
1203,120,1254,255
853,64,895,198
925,185,983,320
1094,50,1134,159
1169,140,1212,271
363,6,419,129
986,110,1038,249
1729,84,1786,207
1854,701,1919,859
162,0,190,45
44,801,136,994
1679,11,1733,134
341,492,405,645
801,73,843,194
901,87,942,198
714,228,767,367
1689,167,1758,298
725,4,768,94
