x1,y1,x2,y2
1597,736,1698,912
1711,446,1780,615
1146,766,1234,953
1024,854,1090,1042
914,296,981,449
170,684,263,878
690,367,752,528
155,899,256,1078
1573,576,1656,760
1065,608,1138,800
1105,135,1154,249
581,407,643,549
1173,321,1234,448
578,302,634,431
747,254,801,392
1752,184,1819,322
991,203,1058,351
244,0,287,60
710,88,756,220
1772,288,1849,439
339,474,401,632
1383,39,1421,166
1868,262,1920,405
960,0,995,110
801,49,838,170
1174,1030,1252,1080
907,28,945,151
411,0,445,55
79,63,138,235
1153,37,1195,149
1704,77,1768,220
