x1,y1,x2,y2
1578,708,1665,911
176,653,274,856
1720,463,1796,632
687,393,755,566
914,279,981,426
1069,630,1148,802
1166,744,1249,910
1036,897,1101,1066
749,273,805,411
1559,542,1639,707
584,391,648,534
991,190,1056,352
1162,341,1226,467
61,76,137,238
1100,129,1152,246
954,12,992,121
1748,171,1814,305
1380,39,1422,170
337,476,397,625
141,892,249,1056
710,100,760,232
909,16,944,135
388,0,431,64
798,53,836,171
1763,264,1834,414
1183,26,1229,158
246,0,288,53
392,522,456,653
577,294,631,408
1853,269,1917,390
1345,2,1384,103
863,61,904,173
