x1,y1,x2,y2
928,697,1019,882
763,959,852,1077
1179,450,1236,594
1237,337,1309,496
38,692,141,861
516,837,620,1032
1064,212,1120,357
204,60,267,188
679,52,731,183
899,232,956,381
1526,128,1590,269
492,651,568,818
1029,337,1077,477
690,424,772,610
48,118,101,237
1845,583,1919,786
528,20,578,121
1794,156,1861,284
955,526,1039,706
1381,20,1420,157
719,3,765,107
872,0,907,96
1183,78,1235,189
1838,161,1895,281
231,1002,322,1078
1003,0,1040,98
333,461,393,612
936,0,985,103
1753,291,1834,436
827,1,867,99
383,474,458,644
