x1,y1,x2,y2
205,598,290,790
676,442,746,613
1078,693,1159,872
1543,649,1642,843
1158,375,1219,510
925,253,988,399
749,305,809,451
1198,735,1301,909
1751,515,1833,679
87,125,133,238
1059,981,1125,1079
580,362,643,498
1530,489,1606,641
1101,109,1146,219
113,861,220,1048
705,132,752,265
854,60,897,187
988,171,1049,324
1839,234,1897,370
1375,40,1421,172
1685,58,1752,189
336,482,398,623
4,76,63,174
797,55,836,176
1743,150,1812,297
1297,0,1331,102
906,8,946,130
1742,243,1811,380
340,1,395,85
390,534,460,657
