x1,y1,x2,y2
1720,488,1811,663
1069,657,1153,856
189,634,276,821
1568,673,1650,854
919,274,982,417
1189,735,1261,905
751,281,808,427
1159,353,1225,473
84,119,136,238
685,409,750,577
1753,254,1822,414
583,383,651,520
1846,244,1910,377
1045,924,1119,1075
1545,532,1624,685
1377,40,1421,173
128,883,242,1061
990,186,1054,336
336,479,396,625
35,68,80,168
1744,167,1809,301
1106,121,1150,231
710,115,755,243
372,0,411,74
1187,35,1232,162
577,284,634,403
392,527,459,656
945,18,986,127
796,55,835,173
907,13,946,135
1682,71,1756,203
1290,0,1324,99
