x1,y1,x2,y2
929,700,1020,882
762,953,851,1080
1179,454,1238,592
515,843,618,1041
1237,334,1309,498
1527,124,1587,268
1064,208,1121,355
898,233,957,382
203,61,267,191
491,654,567,819
681,49,730,184
956,529,1039,707
39,697,141,864
47,118,102,237
1030,337,1077,475
691,424,772,606
531,19,582,121
1381,20,1420,157
1850,591,1919,792
1183,74,1237,190
721,2,764,108
1840,159,1896,278
234,1010,321,1078
1794,157,1856,288
871,0,906,96
334,460,394,614
937,0,985,103
1002,0,1040,98
1751,297,1834,418
383,474,458,646
823,0,861,98
