x1,y1,x2,y2
1248,457,1322,626
525,704,610,882
920,568,997,750
679,112,728,243
1804,450,1889,633
174,811,276,1036
1158,348,1220,485
694,541,781,748
1062,282,1126,430
910,170,966,316
719,52,760,169
427,22,487,120
75,108,120,225
1552,184,1615,327
819,9,859,135
515,541,586,694
1030,431,1081,594
862,6,903,129
1817,122,1866,242
1381,20,1423,155
213,24,266,146
1736,238,1802,376
933,432,1004,585
1166,119,1220,233
338,462,399,616
1221,0,1266,81
1474,0,1544,40
387,471,459,644
0,555,51,729
1779,121,1860,244
