x1,y1,x2,y2
1187,816,1280,1032
106,843,207,1044
1036,880,1118,1075
85,114,133,231
670,885,765,1070
911,370,983,527
1640,356,1711,525
1057,492,1127,667
554,475,635,630
1113,190,1163,312
1174,257,1236,384
1763,251,1837,405
1003,713,1065,887
1664,737,1765,912
1821,359,1912,517
1669,907,1779,1072
573,365,632,494
980,264,1045,427
689,280,750,437
725,187,781,318
231,4,272,88
338,473,399,624
1382,34,1421,168
12,561,115,732
188,49,224,147
188,987,280,1080
861,54,902,173
709,36,753,156
1714,118,1777,262
797,49,838,172
916,62,957,192
987,0,1018,79
