x1,y1,x2,y2
513,817,615,995
1173,432,1233,570
1238,346,1312,507
927,682,1005,879
1844,563,1920,754
759,980,849,1076
1533,133,1591,277
677,60,730,188
1064,220,1125,361
901,229,958,380
204,56,264,181
692,443,771,644
24,670,124,834
219,979,322,1075
1033,352,1082,493
1749,283,1826,441
1381,20,1420,158
496,635,570,795
516,20,576,123
719,3,762,122
1182,83,1231,193
51,114,107,236
1837,155,1893,281
1788,155,1845,277
870,0,907,102
822,0,860,101
936,0,986,102
1596,0,1677,47
1004,1,1043,97
332,460,390,614
