x1,y1,x2,y2
1061,460,1130,631
83,911,189,1079
1613,327,1687,491
1000,929,1077,1075
83,111,133,229
1762,283,1840,443
906,393,977,558
1001,661,1067,845
1194,744,1282,950
564,386,624,515
680,817,767,1048
552,504,632,660
1113,213,1161,333
708,20,750,138
690,256,746,403
1382,32,1420,166
1852,389,1920,549
971,285,1037,446
1171,235,1224,352
859,52,901,171
921,76,960,210
338,472,399,624
725,164,773,292
1702,806,1808,996
44,597,137,768
1699,984,1804,1077
223,4,275,138
1711,137,1775,275
797,45,836,168
196,1024,288,1077
