x1,y1,x2,y2
918,316,980,464
1671,414,1760,578
147,736,243,939
1057,563,1138,742
1166,942,1270,1074
1013,800,1080,974
694,334,757,491
1755,213,1825,358
1167,299,1235,428
90,119,138,235
1619,789,1717,985
1108,151,1157,268
1090,799,1184,990
572,438,647,575
1598,626,1693,802
0,517,62,685
664,1004,754,1080
743,228,793,377
1792,304,1865,464
576,322,636,443
162,920,269,1072
339,472,398,623
995,221,1058,378
244,0,283,64
713,67,758,196
1885,299,1920,431
801,46,838,170
117,57,161,152
1384,35,1423,164
911,40,949,162
