x1,y1,x2,y2
932,721,1021,907
761,923,851,1076
520,863,622,1050
683,41,729,173
1524,111,1585,246
1181,465,1240,597
898,244,959,393
1245,321,1308,472
49,701,151,872
690,417,763,580
495,666,571,820
1844,166,1897,284
1755,295,1834,452
551,12,583,120
206,69,266,194
1381,20,1420,158
963,552,1048,746
1062,194,1124,336
1023,329,1077,466
723,0,767,105
46,117,99,240
236,1031,305,1079
937,0,983,111
1793,166,1853,289
1186,69,1242,174
820,0,859,99
870,0,907,96
1853,614,1920,794
334,463,396,614
1001,1,1039,104
